Rank,Hypothesis,Evidence for,Evidence against,Tests supporting conclusion,Can friend settle this?,Needs Pro?,Confidence
1,Different matrix source/state labels,Raw hh2 is LH-like; frozen scalar matrices paired with anchored kp8 dispersion,No like-for-like matrix bug proved,TEST 135; TEST 146; TEST 147; TEST 148; TEST 149; TEST 150; TEST 151; TEST 152; TEST 153; TEST 154; TEST 155; TEST 156; TEST 157; TEST 158; TEST 159; TEST 160; TEST 161; TEST 162; TEST 163; TEST 164; TEST 165; TEST 166; TEST 167; TEST 168; TEST 169; TEST 170; TEST 171,"Friend matrices, raw state indices, definition of O/z and energy alignment",NO,"High concern, medium causal confidence"
2,Abrupt structure,Interface mismatch established,No controlled abrupt kp8 comparison; scalar QC failed,TEST 138; TEST 139; TEST 143,Exact deck and output composition,YES if files absent,Medium
3,Different BZ definition/cutoff,pi/a versus2pi/a ambiguity; cutoff-sensitive peaks,No0.20pi/a output,TEST 133; TEST 134,Exact k vector list and integration domain,YES if files absent,Medium
4,Schrodinger-Poisson,Production lacks loop; paper says Poisson,Electrostatic conditions unclear; zero doping not proof of spectral effect,TEST 140; TEST 141,"Electrostatic boundary conditions, occupations, converged log",YES if files absent,Medium-low
5,Finite-k matrices,Could change cancellation,Friend reportedly reproduced withM0; no demonstration of necessity,TEST 74; TEST 75; TEST 76; TEST 142,Exact matrix(k) assumption/export,YES if files absent,Unresolved
6,Different Gamma,Some RMSE improvement,No complete topology repair,TEST 08; TEST 09; TEST 10; TEST 11; TEST 12; TEST 13; TEST 14; TEST 15; TEST 16; TEST 17; TEST 18; TEST 19; TEST 20; TEST 21; TEST 22; TEST 23; TEST 24; TEST 25; TEST 26; TEST 27; TEST 28; TEST 29; TEST 30; TEST 31; TEST 132,"Definition HWHM/FWHM, denominator placement",NO,Low as sole cause
7,Friend plotted absolute real,RMSE0.237873,Paper magnitude label; missing features,TEST 01; TEST 02; TEST 03; TEST 04; TEST 05; TEST 06; TEST 07,Exact plotted expression,NO,Low as sole cause
8,Different pathway subset,Offdiagonal RMSE0.221494,Deleting terms not justified,TEST 32; TEST 33; TEST 34; TEST 35; TEST 36; TEST 37; TEST 38,Exact summation code,NO,Low as physical remedy
9,Different equation/complex handling,Latent conjugation bug for complex inputs,Baseline real-input agreement excellent,TEST 121,Exact code and matrix phases,NO,"Low for baseline, high implementation concern"
10,Different wavelength convention,Can move features,Paper explicitly fundamental; cannot invent topology,TEST 104; TEST 105; TEST 106; TEST 107; TEST 108; TEST 109; TEST 110; TEST 111; TEST 112; TEST 113,Axis conversion code,NO,Low
11,Different version/database,Could alter bands,No evidence of actual difference yet,TEST 138; TEST 139; TEST 143,Version and simulation_database.txt,YES if new solve needed,Unknown
12,Ordinary radial normalization bug,None; normalized constant variants identical,Direct numerical checks pass,TEST 45; TEST 46; TEST 47; TEST 48; TEST 49; TEST 50; TEST 51; TEST 52,Integration weights code,NO,Strongly disfavored
